loss: 1.1165:   0%|          | 0/30000 [00:03<?, ?it/s]
loss: 1.1165:   0%|          | 0/30000 [00:03<?, ?it/s, GPU:  34% | VRAM: 36.3/39.5GB (92.0%)]
loss: 0.1268:   0%|          | 100/30000 [01:06<5:59:04,  1.39it/s, GPU:  99% | VRAM: 36.4/39.5GB (92.2%)]
loss: 0.1143:   0%|          | 100/30000 [01:06<5:59:04,  1.39it/s, GPU:  99% | VRAM: 36.4/39.5GB (92.2%)]
loss: 0.1143:   0%|          | 100/30000 [01:06<5:59:04,  1.39it/s, GPU:  99% | VRAM: 36.4/39.5GB (92.2%)]
loss: 0.0810:   1%|          | 200/30000 [02:09<5:12:32,  1.59it/s, GPU:  99% | VRAM: 36.4/39.5GB (92.2%)]
loss: 0.0854:   1%|          | 200/30000 [02:09<5:12:32,  1.59it/s, GPU:  99% | VRAM: 36.4/39.5GB (92.2%)]
loss: 0.0854:   1%|          | 200/30000 [02:09<5:12:32,  1.59it/s, GPU:  99% | VRAM: 36.4/39.5GB (92.2%)]
loss: 0.0741:   1%|          | 300/30000 [03:12<4:52:03,  1.69it/s, GPU:  99% | VRAM: 36.4/39.5GB (92.2%)]
loss: 0.1149:   1%|          | 300/30000 [03:12<4:52:03,  1.69it/s, GPU:  99% | VRAM: 36.4/39.5GB (92.2%)]
loss: 0.1149:   1%|          | 300/30000 [03:12<4:52:03,  1.69it/s, GPU: 100% | VRAM: 36.4/39.5GB (92.2%)]
loss: 0.0743:   1%|▏         | 400/30000 [04:15<6:26:30,  1.28it/s, GPU:  79% | VRAM: 36.4/39.5GB (92.2%)]
loss: 0.0705:   1%|▏         | 400/30000 [04:16<6:26:30,  1.28it/s, GPU:  79% | VRAM: 36.4/39.5GB (92.2%)]
loss: 0.0705:   1%|▏         | 400/30000 [04:16<6:26:30,  1.28it/s, GPU:  99% | VRAM: 36.4/39.5GB (92.2%)]
loss: 0.0710:   2%|▏         | 500/30000 [05:18<5:27:44,  1.50it/s, GPU:  99% | VRAM: 36.4/39.5GB (92.2%)]
loss: 0.0631:   2%|▏         | 500/30000 [05:19<5:27:44,  1.50it/s, GPU:  99% | VRAM: 36.4/39.5GB (92.2%)]
loss: 0.0631:   2%|▏         | 500/30000 [05:19<5:27:44,  1.50it/s, GPU:  99% | VRAM: 36.4/39.5GB (92.2%)]
